OID_,Name,OriginID,DestinationID,DestinationRank,Total_Length,Total_Walk_NLS,Total_Walk_Tobler,Total_Walk_2D,Shape_Length
2806,126008 - 169097,2941,1,1,639.004300472841805,9.472495058246656,10.690568658565219,8.666295550603659,
2807,126009 - 169097,2942,1,1,693.329366534372866,10.886389018959877,11.955658420693672,9.229345026264205,
2808,126010 - 169097,2943,1,1,1506.405837566188211,22.933187565460052,24.293286554519984,20.382320060780490,
2809,126011 - 169097,2944,1,1,1174.892789868970112,18.124348370985832,18.791310242650479,16.320191010212110,
2810,126012 - 169097,2945,1,1,1304.985418742720867,19.564890113855665,20.029639709677323,17.721542543701730,
2811,126013 - 169097,2946,1,1,2529.559920653911831,37.158687703268541,36.125758192049304,34.390688241612082,
2812,126014 - 169097,2947,1,1,1297.941565475189236,19.311067584314070,19.459988321443369,17.599261896841657,
2813,126015 - 169097,2948,1,1,417.718217933447704,6.843626703490332,7.624955286546669,5.540996172825391,
2814,126016 - 169097,2949,1,1,951.957945184025448,14.459991301455961,15.014372118667840,12.772002919155980,
2815,126017 - 169097,2950,1,1,723.144155360754326,10.004863059922640,10.207558564283092,9.868401471519656,
2816,126018 - 169097,2951,1,1,1348.397954069354228,20.033668146294893,20.092934639988702,18.288909842507142,
2817,126019 - 169097,2952,1,1,883.218406026683056,13.484714750431539,14.121835201553735,11.835618335743167,
2818,126020 - 169097,2953,1,1,628.865595823430908,9.328733002492973,10.564637070780826,8.527566695740035,
2819,126021 - 169097,2954,1,1,1379.173372613405036,20.747112301903368,22.049574113810976,18.708832515417082,
2820,126022 - 169097,2955,1,1,644.104069897240493,9.542998456905062,10.750111025107783,8.736179633402893,
2821,126023 - 169097,2956,1,1,432.049864254728902,7.052439692767591,7.787010915097070,5.737053164027889,
2822,126024 - 169097,2957,1,1,434.789805441965029,7.093800330522461,7.815659349176656,5.774526370398144,
2823,126025 - 169097,2958,1,1,871.918446290628140,13.330353995456459,13.986205586602340,11.680772527668099,
2824,126026 - 169097,2959,1,1,612.028215739639563,9.018333508641106,9.924656070493127,8.303352650297366,
2825,126027 - 169097,2960,1,1,2693.467061118062702,39.117022914472528,37.559370639515997,36.667436837230284,
2826,126028 - 169097,2961,1,1,715.641868920216552,9.893457745002751,10.128260311223130,9.766583329683602,
2827,126029 - 169097,2962,1,1,1963.983663265294126,30.062108988341063,29.191629090777006,26.544678092613221,
2828,126030 - 169097,2963,1,1,1049.149026193917052,15.771767061462068,16.245121401017986,14.106672730766780,
2829,126031 - 169097,2964,1,1,1296.555635467884485,19.296361521631155,19.574425175848461,17.578646600390776,
2830,126032 - 169097,2965,1,1,2455.928751769837618,35.863968296644842,34.725258038111761,33.412348993186683,
2831,126033 - 169097,2966,1,1,509.819991232247503,7.771992175398553,9.498815382625308,6.884201614006048,
2832,126034 - 169097,2967,1,1,373.762104881880930,5.758564584903268,6.607960489880041,5.038106216361794,
2833,126035 - 169097,2968,1,1,1426.180770762542352,20.978971028942603,21.107058820154961,19.365913495459210,
2834,126036 - 169097,2969,1,1,939.966914696599815,13.003930333427078,13.375884294897167,12.832886831052898,
2835,126037 - 169097,2970,1,1,1621.496457320758054,24.160661021904772,24.893403892871220,22.022877560397042,
2836,126038 - 169097,2971,1,1,608.215472451445862,9.040931777757873,10.303568475912789,8.245187164627160,
2837,126039 - 169097,2972,1,1,929.378644243211284,15.034752373419636,17.269160055060848,12.517443631147689,
2838,126040 - 169097,2973,1,1,1501.365733585339285,22.067379413187258,22.322076939393753,20.389994310005523,
2839,126041 - 169097,2974,1,1,760.293148291706189,11.139140766683196,12.130191977432727,10.328316377260649,
2840,126042 - 169097,2975,1,1,2269.447880763703324,35.069070562663967,39.616636907249188,30.663762326725806,
2841,126043 - 169097,2976,1,1,583.996474507086418,8.652066880198857,9.552604832431895,7.919401841539172,
2842,126044 - 169097,2977,1,1,549.431390461836031,8.274248820775876,9.052864901591551,7.417375927987884,
2843,126045 - 169097,2978,1,1,584.651765462867843,8.750160521747892,9.515505727149845,7.898590680780496,
2844,126046 - 169097,2979,1,1,530.635176421017263,7.984533947354493,9.334623778931014,7.182421019075458,
2845,126047 - 169097,2980,1,1,1068.239946566595563,17.201691105539780,16.329800770100793,14.325853494648008,
2846,126048 - 169097,2981,1,1,583.542793854450224,8.742252489113826,9.457512864627637,7.884863185994886,
2847,126049 - 169097,2982,1,1,258.539417440698401,4.298870438712364,5.571006007913523,3.447081199001898,
2848,126050 - 169097,2983,1,1,1539.631164753051735,24.457149686210709,21.701732267285006,20.853286577895663,
2849,126051 - 169097,2984,1,1,592.966267426079071,10.428306279112144,9.795837053098690,7.949128527225352,
2850,126052 - 169097,2985,1,1,581.245030056205906,8.739641738440818,8.712793254724797,7.867505411424228,
2851,126053 - 169097,2986,1,1,287.468609900676199,4.695053564247396,5.733789328930154,3.850586600922833,
2852,126054 - 169097,2987,1,1,197.471501396332968,3.166310534484302,2.918487139715744,2.663688014193356,
2853,126055 - 169097,2988,1,1,556.035129778772216,11.939304254578095,11.792178593684685,7.029836864954603,
2854,126056 - 169097,2989,1,1,191.913332533865855,3.344186651544882,4.176646153523926,2.542331467817259,
2855,126057 - 169097,2990,1,1,216.727301211284242,4.303272786645197,4.247842177795425,2.824898079548659,
2856,126058 - 169097,2991,1,1,1250.675041287026033,19.787948735296929,19.310202446611864,16.813094729548812,
2857,126059 - 169097,2992,1,1,3216.639829285901214,46.328144838005890,43.770309548274099,43.835047513375891,
2858,126060 - 169097,2993,1,1,157.943020580817688,2.424328142524544,2.324216831547154,2.145951064338613,
2859,126061 - 169097,2994,1,1,2044.311614204367515,31.920636605028861,29.670223418444099,27.723165829657759,
2860,126062 - 169097,2995,1,1,792.219553849880981,14.202409197588063,13.907325172686297,10.545409033205985,
2861,126063 - 169097,2996,1,1,1838.657569538682083,30.311680540304771,30.565264570579036,24.779320681174529,
2862,126064 - 169097,2997,1,1,3421.917467656961890,49.155165899600917,46.183579351212074,46.647872201493776,
2863,126065 - 169097,2998,1,1,342.448975378765056,6.528744392265630,6.535750664410885,4.511888715030134,
2864,126066 - 169097,2999,1,1,1604.978061566927863,23.790064107879171,24.202111167029262,21.703942566802304,
2865,126067 - 169097,3000,1,1,3268.325423075964864,47.086333247055428,44.261176314012872,44.543212789707702,
2866,126068 - 169097,3001,1,1,255.364988176524434,4.004463851117864,3.749406130016355,3.451576313967574,
2867,126070 - 169097,3003,1,1,62.367084205242030,1.059357523235464,1.237761835924623,0.842335321520763,
2868,126071 - 169097,3004,1,1,799.761329810576399,12.499080638887397,13.860497491524875,11.039686198420842,
2869,126072 - 169097,3005,1,1,3321.068055752396958,47.720177085945195,45.048575587336678,45.267400968947108,
2870,126073 - 169097,3006,1,1,1615.038124131253426,27.182725597540493,30.015911237273222,21.615175055482094,
2871,126074 - 169097,3007,1,1,2927.159307018777326,42.558922121286415,40.454157578411198,39.859237716519431,
2872,126075 - 169097,3008,1,1,2576.482864997831712,41.416855933387907,41.310599750623673,34.926820287038204,
2873,126076 - 169097,3009,1,1,171.607273087246597,2.798615828455207,2.712733386435231,2.310265422015974,
2874,126077 - 169097,3010,1,1,352.770866919720333,5.207436412131313,5.139380624073280,4.762848000827471,
2875,126078 - 169097,3011,1,1,3316.594761067712170,47.671352589916857,45.000465308473871,45.205665273940376,
2876,126079 - 169097,3012,1,1,843.388968146247635,14.788538643040216,14.262280705106026,11.265380716590768,
2877,126080 - 169097,3013,1,1,208.488162628660888,3.451057755110962,3.271581336400935,2.808400262939100,
2878,126081 - 169097,3014,1,1,366.379730747878625,5.386593391174773,5.316953479924291,4.949263248921485,
2879,126082 - 169097,3015,1,1,395.398502743820131,6.376853336601081,7.823505796354623,5.292385867744284,
2880,126083 - 169097,3016,1,1,528.830377809671290,8.028100087539592,8.130341897786218,7.161941355634894,
2881,126084 - 169097,3017,1,1,187.777881069273235,2.825200017014359,3.310223300743459,2.534898182199184,
2882,126085 - 169097,3018,1,1,623.535895852238468,13.799346419355349,14.845404336507952,7.819796300359077,
